FileName,Category
Il Trono Di Spade 2x02 Oltre La Barriera ITA ENG DLMux XviD-Pir8 avi.avi,Trono di Spade
Tsunami  My Hero Academia - 0x15 - Sigla di testa stagione 3#2  Vers senza crediti   DVD RIP 720x576i 25 fps H264  by user-id mkv.mkv,My Hero Academia
NCIS New Orleans 5x09 Partita Doppia ITA DLMux x264-UBi mkv.mkv,NCIS New Orleans
Gomorra La Serie 5x02 iTALiAN AC3 SatRip 1080p x264 by Alex69Picci mkv.mkv,Gomorra
Once Upon A Time 1x10 07 15 Del Mattino ITA ENG DLmux-Pir8 srt.srt,Once Upon a Time
Bones 11x12 Superstizioni Sessiste ITA DLMux x264-UBi mkv.mkv,Bones
Once Upon A Time 5x10 Cuore Spezzato ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
Foundation 2x01 All Ombra Di Seldon ITA DLMux x264-WRM mkv.mkv,Foundation
NCIS New Orleans 5x05 Sangue Del Mio Sangue ITA DLMux x264-UBi mkv.mkv,NCIS New Orleans
Forever 1x08 L Estasi Dell Agonia ITA DLMux x264-NovaRip mkv.mkv,Forever
Tsunami  My Hero Academia - 3x02 - Wild Wild Pussycats  DVD RIP 720x576i 25 fps H264  by user-id mkv.mkv,My Hero Academia
Tulsa King 2x05 Lottare Contro I Mulini A Vento ITA DLMux x264-WRM mkv.mkv,Tulsa
Person Of Interest 3x15 Ultima Chiamata ITA WEB-DLMux x264-iGM srt.srt,Person of Interest
Roma 2x10 Riguardo vostro padre DVDMux ITA by moll avi.avi,Roma
Il Trono Di Spade 2x05 Il Fantasma Della Fortezza ITA ENG DLMux XviD-Pir8 avi.avi,Trono di Spade
SAINT SEIYA The HADES Chapter-Elysion 01  Blu-ray Mux 1080p x264 AAC Ita-AC3 Jap Sub-Ita  Dohko D G   mkv.mkv,Cavalieri dello Zodiaco
HDTVMUX x264 ITA-ENG-JAP AAC SUB ITA-ENG  Naruto Shippuden 153 - All'ombra del maestro by danny11 & LeBlanco mkv.mkv,Naruto Shippuden
Once Upon A Time 5x13 Fatiche D Amore ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
L Attacco Dei Giganti 3x09 Ruler Of The Walls iTA AC3 WEBMux x264-ADE CreW mkv.mkv,Attacco dei Giaganti
Once Upon A Time 5x06 L Orso E L Arco ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
Roma 2x08 Una finzione necessaria DVDMux ITA by moll avi.avi,Roma
Person Of Interest 3x02 Niente Da Nascondere ITA WEB-DLMux x264-iGM mp4.mp4,Person of Interest
The Mandalorian 3x08 Capitolo Ventiquattro Il Ritorno ITA DLMux x264-UBi mkv.mkv,The Mandalorian
The Good Doctor 5x08 Ribellione ITA DLMux x264-UBi mkv.mkv,The Good Doctor
Willow La Serie 1x02 Il Saggio Aldwyn ITA DLMux x264-UBi mkv.mkv,Willow
Bull 5x06 Salvare Una Vita ITA DLMux x264-UBi mkv.mkv,Bull
Once Upon A Time 4x07 La Regina Delle Nevi ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
The Mandalorian 3x04 Capitolo Venti Il Trovatello ITA DLMux x264-UBi mkv.mkv,The Mandalorian
Romanzo Criminale 1x09 Episodio 9 by alocor75 avi.avi,Romanzo Criminale
Once Upon A Time 5x11 Un Uomo Migliore ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
Once upon a time 1x13 Che cosa e successo a Frederick ITA-ENG 720p DLMux DD5 1 h264-DarkSideMux mkv.mkv,Once Upon a Time
Once Upon A Time 3x01 Il Cuore Del Vero Credente ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
Person Of Interest 5x09 Sotto Voce ITA BDMux x264-NovaRip mkv.mkv,Person of Interest
Once Upon A Time 1x01 Mai Piu Un Lieto Fine ITA ENG DLmux-Pir8 avi.avi,Once Upon a Time
Bull 2x03 Scambio Di Favori ITA HDTVRip x264-UBi mkv.mkv,Bull
Once Upon A Time 4x13 L Oscurita Bussa Alla Porta ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
NCIS Los Angeles 13x20 Lavoro E Famiglia ITA DLMux x264-UBi mkv.mkv,NCIS Los Angeles
L Attacco Dei Giganti 4x22 Disgelo iTA AC3 WEBMux x264-ADE CreW mkv.mkv,Attacco dei Giaganti
Rabbit Hole 1x01 Pilot ITA DLMux x264-UBi mkv.mkv,Rabbit Hole
Il Trono Di Spade 4x01 Two Swords ITA HDTVMux x264-iGM mp4.mp4,Trono di Spade
Bones 5x08 La Mano Di Cenere ITA WEB-DL Mux XviD-NovaRip avi.avi,Bones
L Attacco Dei Giganti 4x05 Dichiarazione Di Guerra iTA AC3 WEBMux x264-ADE CreW mkv.mkv,Attacco dei Giaganti
Il Trono Di Spade 6x05 Il Tempo E Giunto ITA DLMux x264-NovaRip mkv.mkv,Trono di Spade
Roma 1x06 - Egeria - DVD Rip ITA-eng by Ken avi.avi,Roma
Bull 6x18 Il Migliore ITA DLMux x264-UBi mkv.mkv,Bull
Shogun 2024 1x05 Ammaestrato Al Pugno ITA DLMux x264-WRM mkv.mkv,Shogun
Once upon a time 1x01 Mai piu un lieto fine ITA-ENG 720p DLMux DD5 1 h264-DarkSideMux mkv.mkv,Once Upon a Time
Person Of Interest 1x19 I capifamiglia iTALiAN BDMux XviD-DarkSideMux avi.avi,Person of Interest
Forever 1x12 I Lupi Dei Bassifondi Di Brooklyn ITA DLMux x264-NovaRip mkv.mkv,Forever
L Attacco Dei Giganti 3x12 Night Of The Battle To Retake The Wall iTA AC3 WEBMux x264-ADE CreW mkv.mkv,Attacco dei Giaganti
NCIS Los Angeles 14x03 Arte Macabra ITA DLMux x264-UBi mkv.mkv,NCIS Los Angeles
N C I S 18x15 Spazzati Via ITA DLMux x264-UBi mkv.mkv,NCIS
Blindspot 5x06 Caccia Al Tesoro ITA DLMux x264-UBi mkv.mkv,Blindspot
Romulus 1x05 Memento ITA WEBMux x264-UBi mkv.mkv,Romulus
Bull 3x12 Per Un Pelo ITA DLMux x264-UBi mkv.mkv,Bull
Supernatural 15x10 Il Viaggio Degli Eroi ITA BDMux x264-UBi mkv.mkv,Supernatural
MacGyver 2016 5x10 Divide Et Impera ITA DLMux x264-UBi mkv.mkv,Mac Gyver
Roma 1x09 - Utica - DVD Rip ITA-eng by Ken avi.avi,Roma
Bones 6x16 Il Blackout Nella Tempesta ITA DLMux XviD-NovaRip avi.avi,Bones
Bull 5x02 Un Caso Per Due ITA DLMux x264-UBi mkv.mkv,Bull
See 2x06 La Verita Sugli Unicorni ITA DLMux x264-UBi mkv.mkv,See
SAINT SEIYA The HADES Chapter-Inferno 04  Blu-ray Mux 1080p x264 AAC Ita-AC3 Jap Sub-Ita  Dohko D G   mkv.mkv,Cavalieri dello Zodiaco
The Shield  S01  08  13  Amore e Droga  ITA  DVDRip  avi.avi,Shield
SAINT SEIYA The HADES Chapter-Elysion 02  Blu-ray Mux 1080p x264 AAC Ita-AC3 Jap Sub-Ita  Dohko D G   mkv.mkv,Cavalieri dello Zodiaco
Bones 6x06 Un Alieno In Fondo Al Mare ITA DLMux XviD-NovaRip avi.avi,Bones
Halo 1x09 Transcendence ITA DLMux x264-UBi mkv.mkv,Halo
Silo 1x08 Hanna ITA DLMux x264-UBi mkv.mkv,Silo
Rabbit Hole 1x04 La Persona Nel Tuo Orecchio ITA DLMux x264-UBi mkv.mkv,Rabbit Hole
Moon Knight 1x06 Dei E Mostri ITA DLMux x264-UBi mkv.mkv,Moon Knight
The Day Of The Jackal 1x01 Episodio 1 ITA DLMux x264-WRM mkv.mkv,Day of the jackal
Romanzo Criminale 2x06 Episodio 6 iTALiAN BDRip XviD-DarkSideMux avi.avi,Romanzo Criminale
Bosch 2x08 Episodio 8 ITA WEBMUX x264-NST mkv.mkv,Bosch
Bones - 2x07 - Piccole miss  DVDRip x264 AC3 ITA-ENG SUBS  Tiger mkv.mkv,Bones
Il Trono Di Spade 6x02 Uomini Di Ferro ITA DLMux x264-NovaRip mkv.mkv,Trono di Spade
Anime BDmux ITA-JAP  ONE PIECE 656 - La Tecnica di Rebecca ! La Danza della Spada a Picco sull ' Acqua  Dressrosa Arc   Baroque Works  mkv.mkv,One Piece
Dark Matter 2024 1x06 Sovrapposizione ITA DLMux x264-WRM mkv.mkv,Dark Matter
Bones 9x09 L Ostacolo In Giuria ITA DLMux x264-NovaRip mkv.mkv,Bones
Criminal Minds 16x03 I Kit Della Morte ITA DLMux x264-UBi mkv.mkv,Criminal Minds
MacGyver 2016 5x13 Viaggio In Italia ITA DLMux x264-UBi mkv.mkv,Mac Gyver
NCIS Los Angeles 14x14 Vergogna ITA DLMux x264-UBi mkv.mkv,NCIS Los Angeles
Bones 11x01 Somiglianze ITA DLMux x264-UBi mkv.mkv,Bones
Shogun 2024 1x10 Un Sogno Dentro Un Sogno ITA DLMux x264-WRM mkv.mkv,Shogun
Bones - 1x07 - Condannato a morte  DVDRip x264 AC3 ITA-ENG SUBS  Tiger mkv.mkv,Bones
Anime BDmux ITA-JAP  ONE PIECE 696 - Rebecca e Kyros - Finalmente Insieme !  Dressrosa Arc   Baroque Works  mkv.mkv,One Piece
Person Of Interest 3x18 Il Diplomatico ITA WEB-DLMux x264-iGM srt.srt,Person of Interest
Bones 7x12 Delitto sul set iTALiAN BDMux x264-DarkSideMux mp4.mp4,Bones
Anime BDmux ITA-JAP  ONE PIECE 741 - Alta Tensione - Il Rapimento di Rebecca !  Dressrosa Arc   Baroque Works  mkv.mkv,One Piece
Bones 3x03 Amore Sbagliato ITA DVDMux XviD-Novarip avi.avi,Bones
Bones 9x02 Terapia Di Coppia ITA DLMux x264-NovaRip mkv.mkv,Bones
Anime BDmux ITA-JAP  ONE PIECE 671 - Sconfiggere Sugar - I Nani all Attacco !  Dressrosa Arc   Baroque Works  mkv.mkv,One Piece
Bosch 5x08 Salvation Mountain iTA AC3 DLMux x264-ADE CreW mkv.mkv,Bosch
Tulsa King 1x01 Vai A Ovest Vecchio Mio ITA DLMux x264-UBi mkv.mkv,Tulsa
Il Trono Di Spade 6x03 Giuramento Infranto ITA REPACK DLMux x264-NovaRip mkv.mkv,Trono di Spade
Bones - 1x18 - La maledizione dei pirati  DVDRip x264 AC3 ITA-ENG SUBS  Tiger mkv.mkv,Bones
Bull 1x22 Segreti ITA HDTVRip x264-UBi mkv.mkv,Bull
Person Of Interest 4x03 L Esperto Di Donne ITA DLMux x264-NovaRip mkv.mkv,Person of Interest
The Good Doctor 5x16 Lo Show Di Shaun ITA DLMux x264-UBi mkv.mkv,The Good Doctor
"Tsunami  I Cavalieri dello zodiaco - 4x10 - Il colpo proibito  BD 576p 59,94 fps H264 8 bit AC3 ITA-JAP SUB ITA  by user-id mkv.mkv",Cavalieri dello Zodiaco
Shogun 2024 1x06 Le Signore Del Mondo Dei Salici ITA DLMux x264-WRM mkv.mkv,Shogun
Person Of Interest 5x03 La Verita Da Raccontare ITA BDMux x264-NovaRip mkv.mkv,Person of Interest
Forever 1x09 6 AM ITA DLMux x264-NovaRip mkv.mkv,Forever
Person Of Interest 2x05 Prima Pagina ITA DLMux x264-NovaRip mkv.mkv,Person of Interest
Bones 10x11 Spezzatino Di Cadavere ITA DLMux x264-UBi mkv.mkv,Bones
The Shield 2x05 Luce Verde ITA DVDRip XviD-NovaRip avi.avi,Shield
Once Upon A Time 5x19 Sorelle ITA DLMux x264-NovaRip mkv.mkv,Once Upon a Time
Anime BDmux ITA-JAP  ONE PIECE 727 - Il Risveglio ! Doflamingo Contrattacca !  Dressrosa Arc   Baroque Works  mkv.mkv,One Piece
Bull 3x20 Quello Onesto ITA DLMux x264-UBi mkv.mkv,Bull
Tsunami  My Hero Academia - 3x16 - Il liceo Shiketsu si avvicina di soppiatto  DVD RIP 720x576i 25 fps H264  by user-id mkv.mkv,My Hero Academia
Hanno Ucciso l'Uomo Ragno 1x04  2024  aac ITALIAN x264 1920x820p mkv.mkv,Hanno Ucciso L uomo ragno
