Filename;Category
Il.Trono.Di.Spade.8x01.ITA.1080p.WEB-DLMux.x264-NovaRip.mkv;GAME OF THRONES
Il.Trono.Di.Spade.8x02.ITA.720p.WEB-DLMux-NovaRip.mkv;GAME OF THRONES
Il.Trono.Di.Spade.8x03.The.Long.Night.ITA.1080p.WEB-DLMux.x264-NovaRip.mkv;GAME OF THRONES
Il.Trono.Di.Spade.8x04.ITA.1080p.WEB-DLMux-NovaRip.mkv;GAME OF THRONES
Il.Trono.Di.Spade.8x05.ITA.720p.WEB-DLMux.x264-NovaRip.mkv;GAME OF THRONES
Game.of.Thrones.S08E06.FINAL.ITA.1080p.WEB-DLMux.x264-NovaRip.mkv;GAME OF THRONES
One.Piece.1089.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;ONE PIECE
One.Piece.1090.Sub.ITA.720p.WEB-DLMux-UBi.mkv;ONE PIECE
One.Piece.1091.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;ONE PIECE
One.Piece.1092.Sub.ITA.1080p.WEB-DLMux-UBi.mkv;ONE PIECE
One.Piece.1093.Sub.ITA.720p.WEB-DLMux.x264-UBi.mkv;ONE PIECE
One.Piece.1094.Sub.ITA.1080p.WEB-DLMux-UBi.mkv;ONE PIECE
One.Piece.1095.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;ONE PIECE
One.Piece.1096.Sub.ITA.720p.WEB-DLMux-UBi.mkv;ONE PIECE
Breaking.Bad.S05E16.FINAL.ITA.1080p.BluRay.x264-KILLERS.mkv;BREAKING BAD
Breaking.Bad.S05E15.ITA.1080p.BluRay.x264-KILLERS.mkv;BREAKING BAD
Breaking.Bad.S05E14.ITA.720p.BluRay.x264-KILLERS.mkv;BREAKING BAD
Breaking.Bad.S05E13.ITA.1080p.BluRay.x265-KILLERS.mkv;BREAKING BAD
Breaking.Bad.S05E12.ITA.1080p.BluRay.x264-KILLERS.mkv;BREAKING BAD
My.Hero.Academia.6x25.ITA.1080p.WEB-DLMux-Pir8.mkv;MY HERO ACADEMIA
My.Hero.Academia.6x24.ITA.720p.WEB-DLMux-Pir8.mkv;MY HERO ACADEMIA
My.Hero.Academia.6x23.ITA.1080p.WEB-DLMux.x264-Pir8.mkv;MY HERO ACADEMIA
My.Hero.Academia.6x22.ITA.1080p.WEB-DLMux-Pir8.mkv;MY HERO ACADEMIA
My.Hero.Academia.6x21.ITA.720p.WEB-DLMux-Pir8.mkv;MY HERO ACADEMIA
L.Attacco.Dei.Giganti.4x01.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;ATTACK ON TITAN
L.Attacco.Dei.Giganti.4x02.Sub.ITA.720p.WEB-DLMux-UBi.mkv;ATTACK ON TITAN
L.Attacco.Dei.Giganti.4x03.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;ATTACK ON TITAN
L.Attacco.Dei.Giganti.4x04.Sub.ITA.1080p.WEB-DLMux-UBi.mkv;ATTACK ON TITAN
Attack.on.Titan.S04E05.Sub.ITA.720p.WEB-DLMux.x264-UBi.mkv;ATTACK ON TITAN
Stranger.Things.4x09.FINAL.ITA.ENG.1080p.NF.WEB-DLMux-DarkSideMux.mkv;STRANGER THINGS
Stranger.Things.4x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-DarkSideMux.mkv;STRANGER THINGS
Stranger.Things.4x07.ITA.ENG.720p.NF.WEB-DLMux-DarkSideMux.mkv;STRANGER THINGS
Stranger.Things.4x06.ITA.ENG.1080p.NF.WEB-DLMux-DarkSideMux.mkv;STRANGER THINGS
Stranger.Things.4x05.ITA.ENG.1080p.NF.WEB-DLMux.x264-DarkSideMux.mkv;STRANGER THINGS
The.Walking.Dead.11x24.FINAL.ITA.1080p.WEB-DLMux.x264-NovaRip.mkv;THE WALKING DEAD
The.Walking.Dead.11x23.ITA.720p.WEB-DLMux-NovaRip.mkv;THE WALKING DEAD
The.Walking.Dead.11x22.ITA.1080p.WEB-DLMux.x264-NovaRip.mkv;THE WALKING DEAD
The.Walking.Dead.11x21.ITA.1080p.WEB-DLMux-NovaRip.mkv;THE WALKING DEAD
The.Walking.Dead.11x20.ITA.720p.WEB-DLMux.x264-NovaRip.mkv;THE WALKING DEAD
The.Boys.3x08.ITA.ENG.1080p.AMZN.WEB-DLMux.x264-BlackBit.mkv;THE BOYS
The.Boys.3x07.ITA.ENG.720p.AMZN.WEB-DLMux-BlackBit.mkv;THE BOYS
The.Boys.3x06.ITA.ENG.1080p.AMZN.WEB-DLMux.x264-BlackBit.mkv;THE BOYS
The.Boys.3x05.ITA.ENG.1080p.AMZN.WEB-DLMux-BlackBit.mkv;THE BOYS
The.Boys.3x04.ITA.ENG.720p.AMZN.WEB-DLMux.x264-BlackBit.mkv;THE BOYS
Peaky.Blinders.6x06.FINAL.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;PEAKY BLINDERS
Peaky.Blinders.6x05.ITA.ENG.720p.NF.WEB-DLMux-MeM.mkv;PEAKY BLINDERS
Peaky.Blinders.6x04.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;PEAKY BLINDERS
Peaky.Blinders.6x03.ITA.ENG.1080p.NF.WEB-DLMux-MeM.mkv;PEAKY BLINDERS
Peaky.Blinders.6x02.ITA.ENG.720p.NF.WEB-DLMux.x264-MeM.mkv;PEAKY BLINDERS
Vikings.6x20.FINAL.ITA.1080p.WEB-DLMux.x264-BlackBit.mkv;VIKINGS
Vikings.6x19.ITA.720p.WEB-DLMux-BlackBit.mkv;VIKINGS
Vikings.6x18.ITA.1080p.WEB-DLMux.x264-BlackBit.mkv;VIKINGS
