1;THE OFFICE;The.Office.S01E01.Pilot.1080p.WEB-DL.x264-GROUP.mkv
2;THE OFFICE;The.Office.S01E02.Diversity.Day.1080p.WEB-DL.x264-GROUP.mkv
3;BREAKING BAD;Breaking.Bad.S01E01.Pilot.1080p.BluRay.x264-GROUP.mkv
4;BREAKING BAD;Breaking.Bad.S01E02.Cat's.in.the.Bag.1080p.BluRay.x264-GROUP.mkv
5;GAME OF THRONES;Game.of.Thrones.S01E01.Winter.Is.Coming.1080p.BluRay.x264-GROUP.mkv
6;THE OFFICE;The.Office.US.S02E01.The.Dundies.720p.WEB-DL.x264-GROUP.mkv
7;BREAKING BAD;Breaking.Bad.S02E01.Seven.Thirty-Seven.1080p.BluRay.x264-GROUP.mkv
8;STRANGER THINGS;Stranger.Things.S01E01.Chapter.One.The.Vanishing.of.Will.Byers.1080p.NF.WEB-DL.x264-GROUP.mkv
9;THE OFFICE;The.Office.S03E01.Gay.Witch.Hunt.1080p.WEB-DL.x264-GROUP.mkv
10;GAME OF THRONES;Game.of.Thrones.S02E01.The.North.Remembers.1080p.BluRay.x264-GROUP.mkv
