FileName,Category
"Il Trono Di Spade 8x04 L Ultimo Degli Stark ITA WEBMux x264-UBi mkv.mkv","Trono di Spade"
"Il Trono Di Spade 8x06 Il Trono Di Spade ITA WEBMux x264-UBi mkv.mkv","Trono di Spade"
"Il Trono Di Spade 1x10 Fuoco E Sangue iTALiAN HDTVMux-DarkSideMux forced srt.srt","Trono di Spade"
"Il Trono Di Spade 1x05 Il Lupo E Il Leone iTALiAN HDTVMux-DarkSideMux avi.avi","Trono di Spade"
"Il Trono Di Spade 1x02 La Strada Del Re iTALiAN HDTVMux-DarkSideMux forced srt.srt","Trono di Spade"
"Il Trono Di Spade 1x09 La Confessione iTALiAN HDTVMux-DarkSideMux avi.avi","Trono di Spade"
"Il Trono Di Spade 1x10 Fuoco E Sangue iTALiAN HDTVMux-DarkSideMux avi.avi","Trono di Spade"
"Il Trono Di Spade 1x03 Lord Snow iTALiAN HDTVMux-DarkSideMux avi.avi","Trono di Spade"
"Il Trono Di Spade 2x08 Il Principe Di Grande Inverno ITA ENG DLMux XviD-Pir8 it srt.srt","Trono di Spade"
"400110-SpiderMan No Way Home 2021 iTALiAN MD 720p HDCAM x264WRS mkv mp4.mp4","Trono di Spade"
"Il Trono Di Spade 2x01 Il Nord Non Dimentica ITA ENG DLMux XviD-Pir8 avi.avi","Trono di Spade"
"Il Trono Di Spade 2x04 Il Giardino Di Ossa ITA ENG DLMux XviD-Pir8 en srt.srt","Trono di Spade"
"Il Trono Di Spade 2x04 Il Giardino Di Ossa ITA ENG DLMux XviD-Pir8 srt.srt","Trono di Spade"
"Il Trono Di Spade 2x05 Il Fantasma Della Fortezza ITA ENG DLMux XviD-Pir8 avi it srt.srt","Trono di Spade"
"Il Trono Di Spade 2x06 Vecchi E Nuovi Dei ITA ENG DLMux XviD-Pir8 it srt.srt","Trono di Spade"
"Il Trono Di Spade 2x10 Chiunque Puo Essere Ucciso ITA ENG DLMux XviD-Pir8 it srt.srt","Trono di Spade"
